ID,Query
1,"How many terminals does Changi Airport have, and what is their total passenger handling capacity?"
2,"What is the name of the indoor waterfall at Jewel Changi Airport, and what is its significance?"
3,What services does the Changi Experience Studio offer?
4,Are there any 24-hour shops in Jewel Changi Airport?
5,What special assistance can be expected from Changi Airport when traveling with a friend who has reduced mobility?
6,Where can you get local delicacies at an affordable price within Jewel Changi Airport?
7,Where can ATMs be found at Changi Airport?
8,"Does Changi Airport offer baggage storage facilities? If so, where are they located?"
9,Are there any Michelin-starred restaurants located within Jewel Changi Airport?
10,What is Hitoyoshi Izakaya at Jewel Changi Airport known for?
